codice,descrizione,gruppo,ordine
0,Non presente,,
1,Ville e Villini,,
5,Negozi,,
6,Uffici,,
7,Capannoni tipici,,
8,Capannoni industriali,,
9,Magazzini,,
10,Laboratori,,
17,Centri commerciali,,
18,Uffici strutturati,,
19,Abitazioni signorili,,
20,Abitazioni civili,,
21,Abitazioni di tipo economico,,
22,Abitazioni tipiche dei luoghi,,
101,Seminativo,,
102,Seminativo Irriguo,,
103,Seminativo Arborato,,
104,Seminativo Arborato Irriguo,,
105,Seminativo Irriguo Arborato,,
108,Prato,,
109,Prato Irriguo,,
110,Prato Arborato,,
114,Marcita,,
117,Orto,,
118,Orto Irriguo,,
126,Vivaio,,
129,Vigneto,,
131,Vigneto Irriguo,,
132,Vigneto Uva Tavola,,
133,Vigneto Frutteto,,
134,Vigneto Uliveto,,
136,Uliveto,,
137,Uliveto Agrumeto,,
143,Uliveto Vigneto,,
147,Frutteto,,
148,Frutteto Irriguo,,
149,Agrumeto,,
151,Agrumeto Irriguo,,
152,Agrumeto Uliveto,,
154,Aranceto,,
158,Castagneto,,
159,Castagneto da Frutto,,
169,Mandorleto,,
174,Noccioleto,,
180,Pometo,,
191,Pascolo,,
192,Pascolo Arborato,,
193,Pascolo Cespugliato,,
197,Bosco Ceduo,,
198,Bosco Misto,,
199,Bosco d`alto Fusto,,
201,Incolto Produttivo,,
230,Arativi,,
231,Seminativi,,
232,Prati,,
233,Orti,,
234,Vigneti,,
235,Pascoli,,
237,Laghi Paludi  Stagni,,
238,Boschi,,
250,Incolto Sterile,,
